"author_id","tweet","username","follower","tweet_clean","emoticon_sentimen_score"
1549926746006630400,"10.11.2022

Bljr Literasi B.Indo dan Latsol ""Paragraf"" dan ngerjain latsol Penalaran Matematika. 

@Laaladidadyyy @eve_restt2 @snotcpage @zziuu_ Blm belajar byk krn msh syok sma tipe soal snbt yg agak2. Moga BP3 cepet sosialisasi ya guys 🥲 https://t.co/M2mCOxig4f","gia_notes",681,"ajar literasi bindo latsol paragraf ngerjain latsol nalar matematika belum ajar banyak karena masih syok sama tipe soal snbt yang moga bp cepat sosialisasi ya guys 🥲",0
1547772772411052032,"@pencariicuan @sbmptnfess Hai leoon salken 👋🏻 let's be friend🤗 kalau mau sharing atau tanya2 seputar snbt boleh dm aku ya 😆☝🏻","rnjunitb",166,"hai leoon salken 👋🏻 lets be friend🤗 sharing tanya putar snbt dm ya 😆🏻",0.8279950723745
1249280173721059328,"@pawwwsh Kakk mjb, kakak lewat tl ku. Kakak ngerjain nya lewat mana kak kalo boleh tauu? Pgn latihan snbt jugaa:)))","pixiestrare",110,"kak mjb kakak lewat tl ku kakak ngerjain nya lewat kak kalo tau pengin latih snbt juga",0
1249280173721059328,"YG PUNYA LATIHAN SOAL SNBT TAUN INI BAGII PLSSSSSSS BAGI DONG","pixiestrare",110,"yang punya latih soal snbt tahun bagi pls ",0
1479038043805814784,"masih bingung mau nya gimana dan apa, pengen berjuang lg buah snbt tapi ga yakin, blm mulai bljr dan masih seneng leha², nyari kerja jg blm dapet, sedang krisis diri:)","hellomadepak",5," bingung nya bagaimana pengin juang lagi buah snbt enggak yakin belum mulai ajar senang leha cari kerja juga belum dapat krisis ",0
1201673806156161024,"sch! kalian latsol snbt dari mana aja? aku bingung bgt soalnya kan tps² utbk yg tahun lalu beda soalnya sama snbt nanti😭","schfess",495887,"sch latsol snbt saja bingung banget soal tps utbk yang tahun beda soal snbt 😭",-0.0933767643865364
1369882923202015232,"berarti jeongwoo ikut snbt kah? kok dia nggak beritanya nggak ikut tes...","gyuundip",59,"arti jeongwoo ikut snbt kah enggak berita enggak ikut tes",0
1540680422375321600,"Hallo, i'm looking for friends buat snbt, sekalian nyari temen buat ngambis juga nih, kalau ada yang sama jurusannya ambis bareng yu? Let's be moots!
• Call me sendu/ndu
• class 12 mipa
• 05L
Bantu rt/like ya kalau lewat, thank u.
#studytwt #studyacc #AMBISVERSE","fairysenduka",111,"halo im looking for friends snbt cari teman ngambis nih jurus ambis bareng yuk lets be moots call me sendundu class mipa bantu rtlike ya lewat thank studytwt studyacc ambisverse",0
1313771257821712384,"gak menye menye, cuma pengen lolos snbt 23 dengan score 700+","sirca1983",108,"enggak menye menye pengin lolos snbt score",0
60841385,"Untuk lulus ke FSRD ITB atau DKV FSR ISI Yogya atau DKV UNS buka  berarti harus jago gambar loh !, Nah, di Master Seni Sahabat akan dilatih kreativitas di dalam gambar !
WA 081215172871
#portofolio #gambarsuasana #snbp #snbt #bimbelgambar #snmptn #sbmptn #fsrditb https://t.co/6jNuhNLgGS","master_seni",207,"untuk lulus fsrd itb dkv fsr isi yogya dkv uns buka  arti jago gambar loh master seni sahabat latih kreativitas gambar wa portofolio gambarsuasana snbp snbt bimbelgambar snmptn sbmptn fsrditb",0
