"word","value"
"bersedih",-5
"bersekolah",3
"bersekongkol",-4
"bersekutu",-5
"berselang",-3
"berselawat",3
"berselawat",-3
"berselingkuh",-5
"berselisih",-5
"berseloroh",-4
"berseluk",3
"bersemangat",4
"bersemangat",-1
"bersemayam",4
"bersemayam",-3
"bersembahyang",5
"bersembahyang",-3
"bersemi",3
"bersempena",-3
"bersempuras",-3
"bersenandung",4
"bersenda gurau",-4
"bersendel",4
"bersendeng",4
"bersender",4
"bersendi",-4
"bersendikan",-4
"bersengaja",-2
"bersengat",5
"bersengketa",-4
"berseni",4
"bersentuh",-5
"bersepai",-5
"berserah",2
"berserah",-4
"berserakan",-5
"berseri",4
"berserikat",-3
"bersesak-sesak",-3
"bersesal",1
"bersesal",-4
"bersesuaian",3
"berseteru",-4
"bersetuju",3
"bersiap",1
"bersikukuh",1
"bersikukuh",-4
"bersila",2
"bersila",-4
"bersilih",-3
"bersimbah",-3
"bersimpati",4
"bersimpuh",3
"bersimpuh",-3
"bersinar",4
"bersinggungan",-3
"bersipongang",-3
"bersisalak",-4
"bersitegang",4
"bersitegang",-4
"bersiteguh",1
"bersiteguh",-4
"bersokom",-4
"berstatus",4
"bersuka-suka",-3
"bersuka-sukaan",-3
"bersulur",3
"bersumber",4
"bersungguh-sungguh",4
"bersungguh-sungguh",-1
"bersungkawa",-3
"bersurai",-3
"bersusah",-5
"bersusah hati",-5
"bersusila",-4
"bersyukur",5
"bertabrakan",-4
"bertaburan",-5
"bertahan",4
"bertahan",-4
"bertaki",-3
"bertakwa",4
"bertala-tala",-3
"bertalun-talun",-3
"bertambah",-5
"bertambatan",3
"bertambun",-3
"bertamu",-4
"bertandang",-4
"bertanding",2
"bertanding",-4
"bertanduk",3
"bertanduk",-2
"bertangkap",-3
"bertanya",2
"bertanya-tanya",4
"bertanya-tanya",-3
"bertapa",-3
"bertapakkan",-4
"bertara",-3
"bertaraf",3
"bertarak",-3
"bertaruk",3
"bertasyakur",-4
"bertautan",-4
"bertebaran",-5
"berteduh",3
"berteduh",-2
"berteguh hati",4
"bertekak",-4
"bertekan",1
"bertekuk lutut",-3
"bertekun",4
"bertelanjang",-3
"bertele-tele",-3
"bertelimpuh",-3
"bertelinga lembut",-3
"bertelinga merah",4
"bertelinga merah",-3
"bertelingkah",-4
"berteman",-3
"bertemperasan",-3
"bertempiar",-3
"bertemu",2
"bertemu roma",-4
"bertenaga",5
"bertendensi",-3
"bertenggang",3
"bertengkar",-5
"bertengkar mulut",-5
"bertengkaran",-4
"bertengking",-4
"bertentangan",-4
"bertepat guna",4
"bertepatan",3
"berteraskan",-4
"berterima",-3
"bertetesan",-3
"bertian",-3
"bertikai",-5
"bertikai pangkai",-4
"bertimbal",-3
"bertimbang",-3
"bertimpa-timpa",-3
"bertindak",-4
"bertindik",-3
"bertingkat",1
"bertingkat",-4
"bertingkuh",-4
"bertinju",-4
"bertitikan",-3
"bertokok",-3
"bertolak",-2
"bertonggakkan",-4
