author_id,tweet,username,follower
1495717513052577792,"hi #studytwt i'm looking for new friends, let's be moots!

about me :
• Zaerna or Erna
• 05L
• 12nd grade
• SNBT 2023

help rt &amp; like, thankyouu! &lt;3
#AMBISVERSE #studyacc #SNBT2023",Zaerrna,64
1526433561732976640,"@sbmptnfess bodoamat sih,saingan aku yg uda jelas ya cuma soal snbt,ngapain mikir yg lain?riwehhh",stusdyx,46
1206448106876784641,"PENGEN MELOK SNBT TAUN NGAREPP, tp ta delok2 soal e ko susah2😔",urnextmomx,332
1209851531719147521,gue baru tau ternyata utbk dah ganti nama jadi snbt😭,asrightnow,10
1590693380102582272,"Hi everyone i'm new at #studytwt needs tmn ambis dan buat sharing² about edu etc!
About me :
➯ Call me nam ^__^
➯ She/her
➯ Semi Gapyear 22
➯ Saintek
✰Let's be moots and please rt/like yaa thank u♡
 [#gapyear #ambisverse #ambistwt #utbk2023 #snbt #studyacc]",namiilily,13
1277970646601887746,"— Today 10/11/22

hari ini alhamdulillah bisa ikutan LC Mipy @pahamify bareng kak shaf @belajaremteka tercintahhh yeyy🤩maaciii💗

jujurly pegel nyatetnya huhu😭 TAPI GAPAPA demi lulus snbt 2023 ke yujiem apa si yg ga😉💗  

@mlkteasz @estvdelune @studytop1a #LiveClassBikinPaham https://t.co/ivw4gM2lNl",euphoriavll_,720
1427939969826398215,"Yuk Kak. (WTS Wangsit) Buku Wangsit Platinum SOSHUM 2023 nya, stok terbatas dan ready  tanpa harus pre-order yaa 🤗.
https://t.co/SXI19StnFL

https://t.co/CE4SQ5RV9x

#ambistwt #ambisverse #soshum #studytwt #zonajajan #wts #sbmptn #utbk #studyacc  #wangsit #snbt #bukusnbt https://t.co/jaW3xfhSa6 https://t.co/71QUV81cjX",halofadlistore,155
1427939969826398215,"@JualanMenfess Yuk Kak. (WTS Wangsit) Buku Wangsit Platinum SOSHUM 2023 nya, stok terbatas dan ready  tanpa harus pre-order yaa 🤗.
https://t.co/SXI19StnFL

https://t.co/CE4SQ5RV9x

#ambistwt #ambisverse #soshum #studytwt #zonajajan #wts #sbmptn #utbk #studyacc  #wangsit #snbt #bukusnbt https://t.co/wdHxwF38e8",halofadlistore,155
1203902966085718016,@uscaevor soswit bgt ikut snbt demi nyamperin aku??? 🥺🫰🏻,outronoir,44
1331650559518990336,gaes ini worth it ngga yaa kira2 buat snbt skrng? udh ada yg beli? TIA 💚 https://t.co/5tvLKQfBfV,tanyakanrl,496736
1201673806156161025,"Kalo kamu lolos SNBT di sini, pengen jurusan apa guys? Sch! 🤓 https://t.co/TTIlCeNA6b",schfess,495887
1502519368365740032,"🖇️ 10-11-2022 
☁︎ 𓏲࣪ ִֶָ ︎ִֶָ 𖤐៹ 𔘓

💜❤️

#studytwt #AMBISVERSE #SNBT2023 https://t.co/JOvPEq1Z9P",rereelys,34
1365929122468302848,Malah makin ngang ngong liat contoh soal snbt yg dikasi bp3😀,Allahummas,1936
1305086481749344256,"yang punya soal² snbt 2023, bagi ke awa doongg😿",chrisknowlee_,542
1557695733771702272,"Kayaknya papa berharap banget buat aku ikut magang, aku pribadi masih belum tahu mau magang atau nggak. Mengingat imun aku nggak sekuat yang lain, dan ditambah kitchen tuh tempat kerja yang high risk juga. Aku juga masih mau fokus buat persiapan snbt. Yah liat gimana nanti aja ☹️",niratamisty,387
1553304554997153795,"@sbmptnfess jgn asal ngejudge aja si kata gua mah, karna lu jg gatau pertimbangan dan faktor yg ngebuat dia ngelakuin hal itu kan. mending lu belajar aja dh buat nyiapin snbt, urusan kyk gni balik lg ke pribadi msg-msg.",ambisiya,1
1202813335797788672,@itbfess kita balas di snbt…,anvle4,107
1553304554997153795,"@sbmptnfess mikir aja klo pindah dari ptn A ke ptn B psti ada peluang antara lingkungan ptn B lbh better dripda ptn A, tp kalo sebaliknya gimana? apalagi jatah snbt juga terbatas kan dan ga mungkin jg balik lg ke ptn A jika di rasa di ptn B ga nyaman. beda angkatan jg mempengaruhi lingkungan",ambisiya,1
1553304554997153795,"@sbmptnfess pertimbangan ketika ngambil kesempatan lolos snbt pdahal kita udh kuliah di ptn apalagi ptn ternama itu ga mudah. kayak dari segi faktor lingkungannya, dosennya, nyelesain administrasinya dll.",ambisiya,1
1454119163367079946,"乁༼☯‿☯✿༽ㄏ 10-11-2022 ┐( ˘_˘)┌

hari ini ikutan kelas gratis mipy bareng kak @belajaremteka soal-soalnya seruuuu polll walaupun bikin stress tak tertolonk 🤯🤯.
hari ini juga seperti biasa nyicil materi snbt dari dasar, saatnya istirahat ✨ https://t.co/w9Bmp6RpCl",cheercute_00,91
1549067916452061184,"waaahh gilakk, gw barusan abis liat conto soal buat snbt anjrittt susah banget keknya bcos penalaran matematikanya keknya bakalan nyerempet juga di mapel""TKA 😭😭",jiayoaraa,21
1458814128336695300,"“Penalaran Matematika SNBT 2023” oleh @bahassoalfess 
https://t.co/UGQVumYfeH",22logtujuh,7
1246318911076749314,sy rt abis snbt insyaaAllah https://t.co/L8lS0455dJ,aintmuggle,34
1510367906215137280,"Halo teman teman pejuang snbt 2023, aku mau jual buku ini edisi salah beli. Yang harus nya beli yg soshum ini malah yang saintek. Aku beli di olshop 89k. Dan aku jual diharga 60k aj. Yang minat dan serius boleh chat lewat dm ya makasih...
#jualbuku #snbt2023 #sbmptn #snmptn #snbt https://t.co/Xb4UTk21Oa",mepdln,25
1468807293282095109,Eh enggak deng😋😋😋😋 blom siap snbt https://t.co/C7OMXOT7oU,onyourlav,8421
1090112460,Jangan Khawatir Ini 4 Tips Rahasia Hadapi SNBT https://t.co/hxx2TSkxW3,jurnascom,23482
1483684591437488131,Ada yang punya contoh soal terbaru yang mirip sama kisi² SNBT gak? Kalau bisa bentuk PDF gitu 🥺🙏🏻,whosnaiis,1982
1582789252827316224,"udah pasrah mau ikut snbt dah, nyawa gue tinggal tahun depan kl buat ikut yg nasional , huff",americanolt,1
1145123964940718080,"📝Penalaran Matematika Terintegrasi📝

Ada Penalaran Matematika Terintegrasi dengan Fisika dan Ekonomi.

Terinspirasi dari SAT (scholastic aptitude test) subtes Math yang ada di negeri sebrang.

Cobain dulu yaa sambil nunggu pembahasannya! 

#studytwt #snbt #ambistwt https://t.co/Jv7zuMP9A7",bahassoalfess,45287
1482631047414042626,"@abtmsn07_ Rilett😭 banyak tugas, banyak ph, mau belajar snbt. Seandainya bisa membelah diri🧍🏻‍♀️",deobilearn,1632
1538905584509931522,@noninoninooo Udah lupa sama snbt wkwkwkw.,grapeeloop,979
1541713748058025985,Wow keren banget padahal gaada soal yang w lewati loh di to snbt 9 kok tiba tiba malah dibilang kosong pantes jelek anjir orang jawaban penalaran matematika w malah diitung di sistemnya kosong padahal udah w isi semua dan kalau itupun w lewati terdetect terlewati 20,LewynnAja,32
1412829753074077696,NCT DREAM tunggu aku tds 2 yaaa.. aku Nyambi kerja dan fokus SNBT dulu yaaa. Semoga aku keterima di kerjaan aku biar bisa nabung nonton konser 🥺🙏🏻,lynivemrk,3809
1441306362579873806,"ada kampus incaran kalian di SNBT2023?

#ranking #rank #kampus #campuss #rankingkampus #snbt #snbt2023 #ui #ugm #uny #undip #IPB #belajarsnbt https://t.co/q8hRB5EN6e",Belajarutbk_id,321
1426449442958233605,"gapyear! kalau pil 1 sender di snbt psi un4ir, pil 2 nya mending apa ya? ada saran? (rencana pil 2 pgn di jabar) heheh. Makasih",gapyearfess,39603
1537990131868909569,materi snbt taun ini : https://t.co/P258uje1Al,zeimeey,370
1531550255811964928,Maju mundur beli buku snbt,bamtyunnzz,2
1590248785816743937,kapan w belajar snbt yh,ciumint,7
1325151550369538050,@matchataaaaa ak keknya sama tp di kampus ku snbt nya 🤭,zwyitsal,4365
1292139497245704192,"Taun depan cabut aja, ikut snbt",yiddaddoo,1
1478134317373001731,gapapa kalo nilai uts gue jelek bakal gue bales di snbt 😍,mawstrophile,2021
958324397588152321,"i was not having that much encouragements to study for snbt but having my mami besides, it gives me strength to always keep going🫶🏻🫶🏻🫶🏻 i wanna make her proud of me😔",moabunch,284
1525398991802085376,"Cuplikan Pembahasan Kelas Online 👩‍🏫 Perspektif 1 Titik Hilang

#kursusgambar #belajargambar #lesgambar #portofolio #gambar #studioartmagic #snbp #snbt #mandiri #desain #dkv #despro #interior #seni #jurusan #ptn #sabtu #november #tutorial #tips #trick #cuplikan #video #perspektif https://t.co/iQTPFtrQKw",studio_artmagic,79
1418576170791038976,"halo gais, it's my studyacc tapi isinya random nih ayo temen² pejuang SNBT 2023 kita mutualan!!!

about me: 
• u can call me ima/mo
• 03L
• Gapyear²² (Pengen lolos seleksi PTN)

yuk Like/Rt, DM juga boleh kok kalo kalian mau cerita/butuh tempat bercerita #studytwt #studyacc",littlemo520,51
1573366465008263168,@enbonoki @menfesspelangi_ Ahahha snbt tetap nomor satuuu,AgakNgalter,58
1587790897428955137,"@dredreammine halo aku jual sharing pahamify untuk utbk/snbt 2023 nii, bisa dm yaa! https://t.co/VVAzsqw9s2",daretobuyy,1
1181208837031747584,@AgakNgalter @menfesspelangi_ Nanti nanti deh. Emang aku mau nya kebangetan. Tp snbt dulu 😂😂👍,enbonoki,344
1587790897428955137,"@O2LMKC halo aku jual sharing pahamify untuk utbk/snbt 2023 nii, bisa dm yaa! https://t.co/MU8WnIMA02",daretobuyy,1
1587790897428955137,"@herewithna @goatedgrad halo aku jual sharing pahamify untuk utbk/snbt 2023 nii, bisa dm yaa! https://t.co/SiBoGy6ewj",daretobuyy,1
1448535895674527744,Tp rerunnya bisa diundurin ga sih? Mau fokus snbt dan lg kurang primo:'),chaosella,0
